step,active_vehicles,waiting_time,halting,speed,reward
120,983,3683.0,84,7.109978173809198,-89.15293601849842
121,983,3767.0,85,3.6190229783722163,-93.13547837375353
122,983,3854.0,88,7.057474052147486,-92.63632953418497
123,983,3941.0,87,7.003770161546107,-92.4764189312888
124,982,4030.0,90,3.512503308032759,-98.1074984844764
125,982,4120.0,90,6.9867529134201956,-96.33810502239378
126,982,4211.0,91,6.973351987569841,-97.56615010637397
127,982,4303.0,93,3.4896511007199744,-102.55345181149582
128,982,4395.0,92,6.9580421212465495,-100.2039212320268
129,982,4489.0,94,6.949374227964659,-102.11643439773634
130,982,4584.0,96,3.4743194585653128,-107.03629261391801
131,982,4679.0,95,6.946772085648515,-104.57173002042666
132,982,4774.0,96,3.473374221543313,-108.94685619304526
133,980,4869.0,95,6.945373625125471,-106.46932998054915
134,980,4964.0,95,6.945342226104493,-107.42221851712975
135,980,5059.0,95,6.945095991011379,-108.37096709039754
136,980,5154.0,96,3.47254496674013,-112.75227592528283
137,980,5249.0,95,6.945011804517378,-110.27229401827144
138,980,5344.0,95,6.945009843689689,-111.22248541728416
139,980,5439.0,96,3.4725,-115.60253978733141
140,980,5534.0,95,6.945001290173375,-113.12250755293861
141,979,5629.0,95,6.945001295072423,-114.0724996897836
142,979,5724.0,96,3.4725028158658553,-118.45260856289819
143,979,5819.0,95,6.945001481434438,-115.97249144833553
144,979,5914.0,95,6.945001160809659,-116.92249773384489
145,979,6009.0,96,3.4725,-121.3025928994666
146,979,6104.0,95,6.945,-118.8225
147,979,6199.0,95,6.945,-119.77250000000001
148,979,6294.0,96,3.4725,-124.15259999999999
149,979,6389.0,95,6.945,-121.6725
150,979,6484.0,95,6.945,-122.6225
151,978,6579.0,96,3.4725,-127.0026
152,977,6674.0,95,6.945,-124.5225
153,976,6769.0,95,6.945,-125.4725
154,975,6864.0,96,3.4725,-129.8526
155,975,6959.0,95,6.945,-127.3725
156,975,7054.0,95,6.945,-128.3225
157,974,7149.0,96,3.4725,-132.70260000000002
158,972,7244.0,95,6.945,-130.2225
159,972,7339.0,95,6.945,-131.1725
160,972,7434.0,95,6.945,-132.1225
161,972,7529.0,95,6.945,-133.0725
162,972,7624.0,95,6.945,-134.02249999999998
163,972,7719.0,95,6.945,-134.97249999999997
164,971,7814.0,95,6.945,-135.92249999999999
165,971,7909.0,95,6.945,-136.87249999999997
166,971,8004.0,95,6.945,-137.8225
167,971,8099.0,95,6.945,-138.77249999999998
168,971,8194.0,95,6.945,-139.72250000000003
169,969,8289.0,95,6.945,-140.67249999999999
170,969,8384.0,95,6.945,-141.62249999999997
171,969,8479.0,95,6.945,-142.5725
172,969,8574.0,95,6.945,-143.5225
173,969,8669.0,95,6.945,-144.47249999999997
174,969,8764.0,95,6.945,-145.4225
175,968,8859.0,95,6.945,-146.3725
176,968,8954.0,95,6.945,-147.3225
177,967,9049.0,95,6.945,-148.27249999999998
178,967,9144.0,95,6.945,-149.2225
179,966,9239.0,95,6.945,-150.1725
180,966,9334.0,95,6.945,-151.1225
181,966,9429.0,95,6.945,-152.0725
182,966,9524.0,95,6.945,-153.0225
183,971,9619.0,95,6.945,-153.9725
184,970,9714.0,95,6.945,-154.92249999999999
185,970,9809.0,95,6.945,-155.8725
186,970,9904.0,95,6.945,-156.8225
187,969,9999.0,95,6.945,-157.77249999999998
188,969,10094.0,95,6.945,-158.7225
189,968,10189.0,95,6.945,-159.67249999999999
190,968,10284.0,95,6.945,-160.6225
191,968,10379.0,95,6.945,-161.5725
192,967,10474.0,95,6.945,-162.52249999999998
193,967,10569.0,95,6.945,-163.47249999999997
194,967,10664.0,95,6.945,-164.4225
195,967,10759.0,95,6.945,-165.37249999999997
196,967,10854.0,95,6.945,-166.3225
197,966,10949.0,95,6.945,-167.2725
198,966,11044.0,95,6.945,-168.2225
199,966,11139.0,95,6.945,-169.1725
200,966,11234.0,95,6.945,-170.1225
201,966,11329.0,95,6.945,-171.0725
202,966,11424.0,95,6.945,-172.02249999999998
203,966,11519.0,95,6.945,-172.9725
204,966,11614.0,95,6.945,-173.9225
205,966,11709.0,95,6.945,-174.8725
206,966,11804.0,95,6.945,-175.8225
207,966,11899.0,95,6.945,-176.77249999999998
208,966,11994.0,95,6.945,-177.7225
209,966,12089.0,95,6.945,-178.6725
210,966,12184.0,95,6.945,-179.6225
211,966,12279.0,95,6.945,-180.5725
212,965,12374.0,95,6.945,-181.52249999999998
213,965,12469.0,95,6.945,-182.47249999999997
214,965,12564.0,95,6.945,-183.42249999999999
215,963,12659.0,95,6.945,-184.3725
216,963,12754.0,95,6.945,-185.32250000000002
217,963,12849.0,95,6.945,-186.27250000000004
