step,active_vehicles,waiting_time,halting,speed
301,965,73094.0,407,0.07166502663960561
302,965,73502.0,408,0.07333591624250364
303,965,73910.0,408,0.07581702222402455
304,965,74318.0,408,0.0766822912331773
305,965,74726.0,408,0.06989393996824882
306,965,75134.0,408,0.06469685857780882
307,965,75542.0,408,0.06791907641982978
308,965,75950.0,408,0.06406567214248433
309,965,76358.0,408,0.06740080182372027
310,965,76766.0,408,0.07184277243293032
311,965,76873.0,407,0.11214931097278737
312,965,76981.0,406,0.12444063203815371
313,965,77088.0,405,0.13568022382910516
314,964,76896.0,403,0.12548658916031002
315,964,76705.0,401,0.11610552052933326
316,964,76515.0,400,0.11816696338582164
317,964,76326.0,398,0.11314406918649757
318,964,76139.0,397,0.11411363102499882
319,964,76244.0,396,0.11413731508748733
320,964,76051.0,398,0.10012751477169037
321,964,75861.0,395,0.1067752850998044
322,964,75674.0,396,0.10467662164367095
323,963,75491.0,397,0.08254048541372191
324,963,75593.0,397,0.08614967689969405
325,963,75414.0,396,0.0932898934461116
326,963,75238.0,395,0.11766562813240208
327,963,75065.0,393,0.14143238075586123
328,963,74643.0,393,0.17950177971458361
329,962,74134.0,389,0.23681351487774108
330,962,73803.0,390,0.2849076952180168
331,962,73472.0,386,0.3513250152178292
332,962,73137.0,382,0.4137985868195247
333,962,72803.0,382,0.4338753774533553
334,962,72473.0,379,0.44873593815941065
335,961,72145.0,379,0.43938581821089223
336,961,71819.0,380,0.44722644858384436
337,961,71496.0,379,0.4486762106354311
338,961,71038.0,379,0.46539787678561234
339,961,70190.0,377,0.4742777555679594
340,961,69088.0,373,0.537216594992885
341,961,68069.0,370,0.5375921906475072
342,961,67210.0,365,0.5522890475984944
343,961,66413.0,364,0.5851857902980073
344,961,65142.0,361,0.6592067630894247
345,961,64041.0,358,0.715211704180573
346,961,62972.0,353,0.7441152994874166
347,961,62186.0,352,0.7499894716398665
348,960,61591.0,350,0.7540343263947784
349,960,60815.0,349,0.7680972648989894
350,960,60137.0,349,0.7637362831340387
351,960,59920.0,351,0.7799323156638992
352,960,59487.0,350,0.7752349526498182
353,960,59089.0,350,0.8068892685138979
354,960,58697.0,350,0.8008211245574384
355,960,58570.0,351,0.7845738238568923
356,960,58458.0,351,0.7474495699271303
357,960,58092.0,353,0.7158585149560959
358,960,57738.0,353,0.7048319705462535
359,960,57564.0,353,0.6891157155265395
360,959,57648.0,355,0.641734055491212
361,959,57308.0,355,0.6501255125744981
362,958,57240.0,355,0.6642982708754109
363,958,56911.0,355,0.6539640499657812
364,957,56163.0,355,0.640704018254936
365,957,55672.0,353,0.6555344706987211
366,957,54932.0,354,0.6713742301993965
367,957,54450.0,354,0.6826115693168271
368,957,53715.0,350,0.7033113331024652
369,957,52831.0,351,0.7386793831903881
370,957,52199.0,352,0.7411209456293465
371,957,51325.0,349,0.7618579375001073
372,957,50731.0,346,0.7932735598011219
373,957,49874.0,349,0.8200822943123529
374,957,49300.0,349,0.8433377430390379
375,957,48488.0,349,0.8866802247121155
376,957,47521.0,346,0.9634146391251652
377,957,46952.0,348,1.0096883942385546
378,957,46020.0,348,1.0513731836079194
379,957,45560.0,345,1.1088447839663957
380,957,44724.0,344,1.1755594498351407
381,956,43888.0,342,1.1696692840758285
382,956,43058.0,340,1.2204810112234725
383,956,42133.0,331,1.2767412191173633
384,956,41652.0,327,1.3157631563826537
385,956,40952.0,322,1.3291991829789875
386,955,40250.0,320,1.3353876510518676
387,955,39551.0,318,1.379084486508963
388,955,39231.0,317,1.4514307087085438
389,955,38231.0,314,1.6017782192737502
390,955,37263.0,308,1.7126966063199476
391,955,32758.0,295,1.86215885182476
392,955,27184.0,273,2.023429826685025
393,954,25529.0,270,2.1663721333730557
394,953,24744.0,270,2.1350821460619933
395,951,23964.0,269,2.1302789477654303
396,950,24000.0,269,2.1340510578369574
397,950,24004.0,268,2.1771436333405556
398,949,24000.0,273,2.181560205211418
399,947,24042.0,273,2.1088312055195066
400,946,24083.0,274,2.125867086741573
401,944,24129.0,274,2.0248933679242467
402,944,24185.0,278,1.989868350211171
403,944,24466.0,283,1.938946847098201
404,944,24523.0,281,1.951042947392507
405,944,24588.0,285,1.9159315660931462
406,943,24649.0,288,1.8024993625300496
407,943,24717.0,291,1.806646417926452
408,943,24795.0,296,1.8475240658750123
409,943,24876.0,298,1.8246271329672978
410,943,25105.0,305,1.789254600002898
411,943,25323.0,304,1.792871395677311
412,942,25335.0,305,1.7014269614001913
